Idcomu,Comunidad,Total,Varones,Mujeres
1,andaluc�a,8424102,4169634,4254468
2,arag�n,1346293,671286,675007
3,asturias,1081487,518571,562916
4,balears,1113114,557577,555537
5,canarias,2126769,1061591,1065178
6,cantabria,593121,289872,303249
7,castillayle�n,2558463,1267671,1290792
8,castillalamancha,2115334,1066598,1048736
9,catalu�a,7539618,3732196,3807422
10,comunitatvalenciana,5117190,2541780,2575410
11,extremadura,1109367,550864,558503
12,galicia,2795422,1349591,1445831
13,madrid,6489680,3132844,3356836
14,murcia,1470069,741581,728488
15,navarra,642051,320656,321395
16,pa�svasco,2184606,1066872,1117734
17,rioja,322955,161582,161373
18,ceuta,82376,42165,40211
19,melilla,78476,40256,38220
